method,scenario_id,n,successes,failures,observed,ci_low,ci_high,analytical_not_measured,observed_minus_analytical,analytical_inside_pointwise_ci
native,iid_p30,1071,732,339,0.6834733893557423,0.6550037185523178,0.7106316007543975,0.7,-0.016526610644257644,True
replication,iid_p30,1071,1069,2,0.9981325863678805,0.993216805405473,0.9994877383611048,0.99757,0.0005625863678805354,True
rs_3_5,iid_p30,1071,877,194,0.8188608776844071,0.794668756840247,0.8407737955426703,0.8369199999999999,-0.018059122315592813,True
shamir_3_5,iid_p30,1071,877,194,0.8188608776844071,0.794668756840247,0.8407737955426703,0.8369199999999999,-0.018059122315592813,True
gatl_uniform_3_5,iid_p30,1071,877,194,0.8188608776844071,0.794668756840247,0.8407737955426703,0.8369199999999999,-0.018059122315592813,True
gatl_gateway,iid_p30,1071,728,343,0.6797385620915033,0.6511955315999899,0.7069968295528991,0.6943299999999999,-0.014591437908496596,True
rs_2_5_gateway_check,iid_p30,1071,728,343,0.6797385620915033,0.6511955315999899,0.7069968295528991,0.6943299999999999,-0.014591437908496596,True
native,iid_p35,1071,673,398,0.6283846872082166,0.5990330017461178,0.65681868479166,0.65,-0.021615312791783414,True
replication,iid_p35,1071,1065,6,0.9943977591036415,0.9878315969109027,0.9974299887018488,0.9947478125,-0.0003500533963585184,True
rs_3_5,iid_p35,1071,789,282,0.7366946778711485,0.7095052347306087,0.7621922382681309,0.7648306250000001,-0.02813594712885159,False
shamir_3_5,iid_p35,1071,789,282,0.7366946778711485,0.7095052347306087,0.7621922382681309,0.7648306250000001,-0.02813594712885159,False
gatl_uniform_3_5,iid_p35,1071,789,282,0.7366946778711485,0.7095052347306087,0.7621922382681309,0.7648306250000001,-0.02813594712885159,False
gatl_gateway,iid_p35,1071,663,408,0.6190476190476191,0.5895872749361194,0.6476570162170928,0.6402459375,-0.02119831845238096,True
rs_2_5_gateway_check,iid_p35,1071,663,408,0.6190476190476191,0.5895872749361194,0.6476570162170928,0.6402459375,-0.02119831845238096,True
native,iid_p40,1071,625,446,0.5835667600373483,0.5537956501623131,0.6127405385295495,0.6,-0.01643323996265167,True
replication,iid_p40,1071,1057,14,0.9869281045751634,0.978178091885281,0.9921975774198181,0.98976,-0.002831895424836528,True
rs_3_5,iid_p40,1071,704,367,0.6573295985060691,0.6283887010448596,0.6851459111850718,0.68256,-0.025230401493930854,True
shamir_3_5,iid_p40,1071,704,367,0.6573295985060691,0.6283887010448596,0.6851459111850718,0.68256,-0.025230401493930854,True
gatl_uniform_3_5,iid_p40,1071,704,367,0.6573295985060691,0.6283887010448596,0.6851459111850718,0.68256,-0.025230401493930854,True
gatl_gateway,iid_p40,1071,609,462,0.5686274509803921,0.538772686466627,0.5979916696099304,0.5846399999999999,-0.016012549019607802,True
rs_2_5_gateway_check,iid_p40,1071,609,462,0.5686274509803921,0.538772686466627,0.5979916696099304,0.5846399999999999,-0.016012549019607802,True
native,iid_p45,1071,575,496,0.5368814192343604,0.5069393693797487,0.5665598423892856,0.55,-0.013118580765639654,True
replication,iid_p45,1071,1047,24,0.9775910364145658,0.9668725935053324,0.9848956804152009,0.9815471874999999,-0.003956151085434123,True
rs_3_5,iid_p45,1071,618,453,0.5770308123249299,0.54721971394732,0.6062912979753465,0.593126875,-0.016096062675070133,True
shamir_3_5,iid_p45,1071,618,453,0.5770308123249299,0.54721971394732,0.6062912979753465,0.593126875,-0.016096062675070133,True
